OBJECTID,COUNTYFP,GEOID,CZ,POPe,HHe,CHILDe,CHILDi,CHILDz,CHILDp,CHILDq,SPHWCe,SPHWCi,SPHWCz,SPHWCp,SPHWCq,ELDERHHe,ELDERHHi,ELDERHHz,ELDERHHp,ELDERHHq,ELDERHHPVe,ELDERHHPVi,ELDERHHPVz,ELDERHHPVp,ELDERHHPVq,PTDe,PTDi,PTDz,PTDp,PTDq,HUNOVELe,HUNOVELi,HUNOVELz,HUNOVELp,HUNOVELq,VACHUe,VACHUi,VACHUz,VACHUp,VACHUq,RENTERe,RENTERi,RENTERz,RENTERp,RENTERq,NONWHITEe,NONWHITEi,NONWHITEz,NONWHITEp,NONWHITEq,GQe,GQi,GQz,GQp,GQq,YEAR20e,YEAR20i,YEAR20z,YEAR20p,YEAR20q,MOBILEe,MOBILEi,MOBILEz,MOBILEp,MOBILEq,POPVe,POPVi,POPVz,POPVp,POPVq,NOHSe,NOHSi,NOHSz,NOHSp,NOHSq,UNEMPe,UNEMPi,UNEMPz,UNEMPp,UNEMPq,SPENWe,SPENWi,SPENWz,SPENWp,SPENWq,RENTBURDN30e,RENTBURDN30i,RENTBURDN30z,RENTBURDN30p,RENTBURDN30q,NOINTNETe,NOINTNETi,NOINTNETz,NOINTNETp,NOINTNETq,MEDHVALe,MEDHVALz,MEDHVALp,MEDHVALq,CHILDCAREr,ELDERCAREr,TRANSNEEDr,SHELTNEEDr,CIVICCAPr,SVIr,CHILDCAREp,ELDERCAREp,TRANSNEEDp,SHELTNEEDp,CIVICCAPp,SVIp,CHILDCAREq,ELDERCAREq,TRANSNEEDq,SHELTNEEDq,CIVICCAPq,SVIq,CHILDCAREc,ELDERCAREc,TRANSNEEDc,SHELTNEEDc,CIVICCAPc,SVIc,Shape__Area,Shape__Length
597,48471,48471790103,387,5376,2054,387,7.199,0.135,0.598,5,95,4.625,-0.916,0.186,2,471,22.931,0.082,0.554,2,12,0.584,-0.626,0.298,2,0,0,-0.456,0,1,31,1.509,-0.626,0.304,1,542,20.878,1.054,0.88,4,1447,26.976,0.438,-0.365,2,1377,25.614,-1.119,0.168,1,12,0.223,-0.202,0.684,1,2023,77.928,0.293,0.501,5,758,29.199,1.77,0.926,3,408,7.606,-0.602,0.332,2,235,6.201,-0.732,0.279,1,47,1.832,-0.808,0.182,1,32,0.641,-0.729,0.188,1,57,13.349,-1.412,0.091,1,224,10.906,-0.213,0.503,2,146600,-0.292,0.449,3,0.392,0.426,0.152,0.447,0.288,0.345,0.341,0.41,0.19,0.584,0.2,0.231,4,1,1,2,1,1,4,1,1,2,1,1,278719165.125,73944.7477865153
598,48471,48471790101,387,6610,721,127,1.921,-1.396,0.064,1,58,8.044,-0.497,0.354,3,259,35.922,1.177,0.883,4,6,0.832,-0.559,0.347,2,0,0,-0.456,0,1,19,2.635,-0.447,0.427,2,304,29.659,1.99,0.954,5,299,13.766,0.182,-0.898,2,3477,52.602,-0.16,0.459,4,4438,67.141,7.019,0.993,5,656,64,-0.234,0.316,2,394,38.439,2.519,0.967,4,353,16.104,0.091,0.634,2,1104,19.314,0.201,0.663,4,20,2.227,-0.719,0.228,2,165,2.545,-0.512,0.417,4,23,23,-0.923,0.171,1,163,22.607,0.795,0.8,4,152600,-0.256,0.474,3,0.209,0.615,0.214,0.489,0.527,0.446,0.131,0.643,0.263,0.645,0.55,0.411,2,4,2,2,5,3,2,3,2,3,3,2,504295988.847656,132536.772647122
599,48471,48471790102,387,3276,1118,178,5.433,-0.377,0.377,3,120,10.733,-0.167,0.498,4,232,20.751,-0.102,0.483,2,13,1.163,-0.471,0.41,3,0,0,-0.456,0,1,61,5.456,0.001,0.642,3,395,26.107,1.611,0.934,5,368,11.393,0.141,-0.994,1,987,30.128,-0.959,0.214,1,46,1.404,-0.075,0.819,1,819,54.131,-0.607,0.234,1,788,52.082,3.624,0.988,5,412,12.744,-0.183,0.533,2,446,20.099,0.256,0.68,5,30,1.965,-0.778,0.198,1,32,1.033,-0.684,0.247,2,44,30.769,-0.53,0.276,2,190,16.995,0.311,0.679,3,137000,-0.35,0.416,2,0.438,0.447,0.321,0.39,0.451,0.433,0.403,0.436,0.397,0.494,0.437,0.386,4,2,2,2,2,2,4,1,2,2,2,1,127967381.976562,51365.7319476834
600,48113,48113012603,42,1989,592,56,2.815,-1.137,0.105,1,45,7.601,-0.551,0.332,2,142,23.986,0.171,0.592,4,17,2.872,-0.013,0.643,4,0,0,-0.456,0,1,26,4.392,-0.168,0.577,3,75,11.244,0.027,0.607,4,165,8.296,0.097,-1.119,1,1441,72.448,0.546,0.644,3,0,0,-0.226,0,1,659,98.801,1.083,0.946,5,20,2.999,-0.353,0.621,5,237,11.916,-0.25,0.503,3,291,23.931,0.529,0.744,4,38,3.93,-0.331,0.435,3,295,15.261,0.939,0.848,4,21,44.681,0.174,0.56,3,50,8.446,-0.425,0.429,3,139500,-0.335,0.425,2,0.219,0.618,0.289,0.315,0.614,0.439,0.142,0.647,0.35,0.38,0.674,0.397,1,4,1,2,3,2,1,4,2,3,4,3,1309763.7265625,5064.60350496871
601,48039,48039663800,9,6388,2543,409,6.403,-0.096,0.502,3,445,17.499,0.662,0.766,5,400,15.729,-0.526,0.32,2,35,1.376,-0.414,0.447,4,0,0,-0.456,0,1,97,3.814,-0.26,0.535,4,264,9.405,-0.169,0.521,3,2781,44.101,0.69,0.326,5,4356,68.19,0.394,0.607,4,82,1.284,-0.088,0.811,4,1580,56.288,-0.526,0.248,2,0,0,-0.596,0,1,880,13.955,-0.084,0.571,5,704,17.038,0.039,0.617,5,324,9.563,0.95,0.867,5,307,5.135,-0.216,0.597,4,585,49.325,0.409,0.654,4,366,14.392,0.087,0.611,5,215900,0.127,0.684,3,0.634,0.384,0.268,0.441,0.673,0.539,0.691,0.357,0.321,0.575,0.751,0.576,4,3,3,5,5,5,4,3,2,3,4,3,7504213.640625,12423.0094905103
602,48039,48039663900,9,2628,804,171,6.507,-0.066,0.515,3,119,14.801,0.331,0.674,4,142,17.662,-0.363,0.38,3,13,1.617,-0.349,0.483,4,0,0,-0.456,0,1,30,3.731,-0.273,0.527,4,101,11.16,0.018,0.603,4,977,38.06,0.61,0.082,5,2078,79.072,0.781,0.706,5,61,2.321,0.024,0.873,5,842,93.039,0.865,0.789,5,93,10.276,0.237,0.751,4,253,9.856,-0.418,0.427,4,568,35.018,1.317,0.876,5,85,6.99,0.365,0.733,4,373,15.181,0.93,0.847,5,162,40.099,-0.058,0.453,3,180,22.388,0.776,0.796,5,92900,-0.617,0.232,1,0.595,0.432,0.264,0.604,0.813,0.617,0.637,0.419,0.317,0.805,0.909,0.707,4,3,3,5,5,5,4,3,2,4,5,4,4309304.07421875,11663.2456878573
603,48039,48039664200,9,2218,1081,68,3.066,-1.064,0.121,1,97,8.973,-0.383,0.406,3,380,35.153,1.112,0.871,5,14,1.295,-0.435,0.434,4,0,0,-0.456,0,1,24,2.22,-0.513,0.387,3,1375,55.985,4.796,0.997,5,670,30.413,0.497,-0.227,4,653,29.441,-0.983,0.207,1,15,0.676,-0.153,0.765,4,1612,65.635,-0.172,0.332,3,465,18.933,0.938,0.846,4,421,19.303,0.351,0.711,5,221,13.031,-0.246,0.516,4,96,9.726,0.987,0.874,5,48,2.233,-0.547,0.388,3,118,40,-0.063,0.45,3,141,13.043,-0.029,0.57,4,172500,-0.135,0.564,2,0.264,0.653,0.194,0.519,0.587,0.489,0.187,0.691,0.239,0.691,0.637,0.49,1,5,3,5,4,4,1,4,1,4,4,3,298447289.609375,147721.234987218
604,48309,48309001600,283,6568,2775,310,4.72,-0.584,0.282,2,293,10.559,-0.189,0.49,3,533,19.207,-0.232,0.431,2,93,3.351,0.115,0.691,4,100,3.198,0.643,0.871,5,194,6.991,0.244,0.726,4,238,7.899,-0.329,0.442,2,3843,58.511,0.821,0.907,4,3960,60.292,0.114,0.533,4,0,0,-0.226,0,1,2745,91.105,0.792,0.744,4,256,8.497,0.093,0.727,4,1321,20.317,0.434,0.731,4,1265,29.201,0.903,0.817,5,152,4.636,-0.171,0.517,4,584,9.332,0.263,0.74,5,683,36.622,-0.234,0.385,2,619,22.306,0.769,0.795,4,85700,-0.66,0.194,2,0.386,0.561,0.799,0.583,0.717,0.675,0.334,0.578,0.875,0.781,0.808,0.794,2,3,5,4,5,4,2,2,5,4,5,4,12469119.5195312,16645.4709570073
605,48309,48309001900,283,5509,2017,515,9.348,0.759,0.798,4,355,17.6,0.674,0.77,4,212,10.511,-0.966,0.171,1,38,1.884,-0.278,0.521,3,0,0,-0.456,0,1,120,5.949,0.079,0.67,4,202,9.103,-0.201,0.508,3,4719,85.66,0.938,2.002,5,3139,56.979,-0.004,0.504,4,0,0,-0.226,0,1,1349,60.793,-0.355,0.286,1,0,0,-0.596,0,1,2956,53.677,3.152,0.99,5,528,30.467,0.993,0.831,5,221,8.315,0.666,0.814,5,55,1.101,-0.676,0.256,2,1077,62.544,1.079,0.88,5,223,11.056,-0.2,0.508,2,92600,-0.618,0.23,2,0.784,0.346,0.335,0.613,0.602,0.612,0.859,0.312,0.416,0.817,0.658,0.698,5,1,3,4,4,4,5,1,3,4,4,4,15841215.1992188,21780.7762007798
606,48085,48085030604,42,3829,883,198,5.171,-0.453,0.341,3,99,11.212,-0.109,0.52,4,132,14.949,-0.591,0.293,3,0,0,-0.782,0,1,4,0.234,-0.376,0.562,3,0,0,-0.865,0,1,10,1.12,-1.052,0.092,1,799,25.47,0.41,-0.426,3,1947,50.849,-0.222,0.441,4,692,18.073,1.724,0.972,5,227,25.42,-1.694,0.092,2,0,0,-0.596,0,1,10,0.32,-1.195,0.025,1,208,9.099,-0.526,0.388,4,53,3.01,-0.541,0.324,3,91,2.506,-0.516,0.414,3,101,47.418,0.313,0.615,4,20,2.265,-0.957,0.165,3,277400,0.499,0.803,2,0.431,0.147,0.281,0.171,0.323,0.263,0.392,0.146,0.339,0.193,0.247,0.116,3,2,2,3,3,2,3,1,2,2,2,1,6853622.28125,12563.712962735
607,48085,48085030202,42,3530,1186,236,6.686,-0.014,0.54,4,66,5.565,-0.801,0.229,2,234,19.73,-0.188,0.448,4,33,2.782,-0.037,0.634,5,12,0.642,-0.235,0.636,3,5,0.422,-0.798,0.172,2,104,8.062,-0.312,0.451,4,450,12.748,0.163,-0.939,1,971,27.507,-1.052,0.189,1,0,0,-0.226,0,1,640,49.612,-0.778,0.203,2,123,9.535,0.177,0.741,5,172,4.873,-0.824,0.212,3,132,5.286,-0.797,0.242,4,43,2.237,-0.716,0.229,2,36,1.093,-0.677,0.256,2,56,40.288,-0.048,0.458,3,64,5.396,-0.688,0.31,4,366900,1.041,0.902,4,0.385,0.541,0.404,0.122,0.259,0.341,0.332,0.556,0.517,0.142,0.159,0.224,3,5,3,2,2,3,2,4,3,1,2,2,220952234.734375,72273.422529753
608,48085,48085030802,42,5877,2081,400,6.806,0.021,0.555,4,316,15.185,0.378,0.689,5,341,16.386,-0.47,0.34,3,94,4.517,0.427,0.781,5,0,0,-0.456,0,1,186,8.938,0.553,0.798,5,328,13.616,0.28,0.71,5,3787,64.438,0.86,1.146,5,3620,61.596,0.16,0.545,5,0,0,-0.226,0,1,1903,78.995,0.334,0.519,4,31,1.287,-0.492,0.535,5,942,16.029,0.085,0.631,5,926,26.077,0.681,0.777,5,159,5.277,-0.025,0.585,4,734,13.401,0.727,0.82,5,808,56.982,0.797,0.801,5,477,22.922,0.822,0.806,5,243600,0.295,0.746,2,0.622,0.561,0.399,0.584,0.747,0.677,0.675,0.578,0.508,0.782,0.842,0.796,5,5,3,5,5,5,4,4,3,4,5,5,6378736.84375,12005.439860154
609,48085,48085030517,42,10501,3592,1097,10.447,1.078,0.868,5,362,10.078,-0.248,0.466,4,339,9.438,-1.056,0.147,2,74,2.06,-0.231,0.543,4,14,0.271,-0.363,0.568,3,73,2.032,-0.543,0.366,3,59,1.616,-0.999,0.108,2,3074,29.273,0.48,-0.273,3,4114,39.177,-0.637,0.317,3,0,0,-0.226,0,1,238,6.519,-2.409,0.031,1,0,0,-0.596,0,1,604,5.758,-0.752,0.246,3,133,2.084,-1.024,0.106,2,404,7.241,0.422,0.749,5,227,2.414,-0.527,0.406,3,689,48.865,0.386,0.645,4,128,3.563,-0.845,0.235,4,354900,0.968,0.891,4,0.667,0.345,0.467,0.061,0.374,0.414,0.732,0.311,0.609,0.095,0.321,0.353,5,3,4,2,4,4,4,3,3,1,2,3,5836624.484375,9837.84856739082
610,48085,48085031314,42,4254,1298,282,6.629,-0.03,0.53,4,127,9.784,-0.284,0.451,4,294,22.65,0.058,0.545,4,0,0,-0.782,0,1,8,0.377,-0.327,0.585,3,0,0,-0.865,0,1,133,9.294,-0.181,0.517,4,117,2.75,0.034,-1.343,1,1847,43.418,-0.486,0.366,3,0,0,-0.226,0,1,557,38.924,-1.183,0.149,2,9,0.629,-0.545,0.485,4,57,1.34,-1.112,0.054,1,334,11.581,-0.349,0.472,5,56,2.571,-0.64,0.271,2,189,4.758,-0.259,0.578,4,17,39.535,-0.086,0.441,3,27,2.08,-0.973,0.156,3,436200,1.46,0.939,5,0.491,0.273,0.293,0.033,0.369,0.294,0.482,0.239,0.356,0.078,0.315,0.154,4,3,2,2,4,3,3,2,2,1,2,1,30638601.8203125,27358.0717291771
611,48085,48085031308,42,6543,2013,346,5.288,-0.419,0.358,3,222,11.028,-0.131,0.513,4,127,6.309,-1.32,0.086,1,4,0.199,-0.729,0.25,3,23,0.664,-0.228,0.638,3,34,1.689,-0.597,0.324,3,12,0.593,-1.108,0.078,1,1371,20.954,0.322,-0.608,3,2871,43.879,-0.47,0.371,3,0,0,-0.226,0,1,1074,53.037,-0.649,0.226,3,24,1.185,-0.5,0.528,4,658,10.132,-0.396,0.436,4,732,17.88,0.099,0.636,5,142,3.929,-0.331,0.435,3,337,5.438,-0.182,0.614,4,363,69.942,1.453,0.94,5,33,1.639,-1.011,0.136,2,256600,0.373,0.767,2,0.436,0.168,0.481,0.147,0.455,0.36,0.399,0.16,0.627,0.168,0.444,0.257,3,2,4,3,5,3,3,2,3,2,3,2,31142509.71875,30809.5509614917
612,48085,48085031718,42,2552,967,103,4.036,-0.783,0.203,2,31,3.206,-1.09,0.122,1,183,18.925,-0.256,0.423,4,14,1.448,-0.395,0.457,4,39,2.735,0.484,0.85,5,10,1.034,-0.701,0.249,3,98,9.202,-0.19,0.512,4,719,28.397,0.463,-0.308,3,871,34.13,-0.817,0.258,2,20,0.784,-0.142,0.777,5,989,92.864,0.858,0.785,5,0,0,-0.596,0,1,211,8.333,-0.542,0.362,4,36,2.017,-1.029,0.103,2,65,4.345,-0.237,0.486,4,74,3.022,-0.457,0.461,3,118,40.273,-0.049,0.458,3,38,3.93,-0.814,0.252,4,405600,1.275,0.924,4,0.163,0.44,0.55,0.341,0.326,0.374,0.091,0.428,0.684,0.417,0.249,0.281,1,4,4,4,3,4,1,3,3,3,2,2,2208334.4765625,6120.97133484504
613,48085,48085030524,42,7053,2256,505,7.16,0.124,0.594,4,147,6.516,-0.684,0.279,3,205,9.087,-1.086,0.139,2,0,0,-0.782,0,1,0,0,-0.456,0,1,27,1.197,-0.675,0.268,3,0,0,-1.171,0,1,1162,16.475,0.235,-0.789,2,4149,58.826,0.061,0.52,5,0,0,-0.226,0,1,241,10.683,-2.251,0.046,1,71,3.147,-0.341,0.626,5,518,7.373,-0.621,0.321,4,291,6.262,-0.727,0.282,4,244,6.658,0.289,0.704,5,107,1.634,-0.616,0.326,2,62,20.13,-1.069,0.143,1,33,1.463,-1.026,0.125,2,322700,0.773,0.857,3,0.437,0.07,0.134,0.103,0.359,0.217,0.401,0.089,0.168,0.127,0.299,0.071,3,1,1,2,4,1,3,1,1,1,2,1,7736734.4140625,11739.7671692271
614,48113,48113014138,42,3900,1732,508,13.026,1.826,0.955,5,20,1.155,-1.341,0.056,1,83,4.792,-1.448,0.062,1,0,0,-0.782,0,1,32,1.396,0.024,0.738,3,0,0,-0.865,0,1,241,12.215,0.131,0.657,5,2586,66.308,0.871,1.222,4,2985,76.538,0.691,0.682,3,0,0,-0.226,0,1,365,18.5,-1.955,0.071,1,0,0,-0.596,0,1,62,1.593,-1.092,0.066,1,0,0,-1.173,0,1,27,1.146,-0.965,0.112,1,63,1.857,-0.59,0.35,2,339,25.374,-0.803,0.197,1,10,0.577,-1.103,0.088,1,450800,1.548,0.946,5,0.506,0.031,0.369,0.385,0.138,0.308,0.505,0.049,0.461,0.485,0.042,0.175,3,1,2,3,1,1,3,1,2,3,1,2,4213661.29296875,13340.5807758016
615,48113,48113014130,42,3685,1505,273,7.408,0.196,0.623,3,109,7.243,-0.595,0.312,2,193,12.824,-0.771,0.232,2,0,0,-0.782,0,1,0,0,-0.456,0,1,33,2.193,-0.517,0.383,2,295,16.389,0.576,0.795,5,1684,45.699,0.709,0.39,3,2943,79.864,0.809,0.715,3,0,0,-0.226,0,1,1355,75.278,0.193,0.46,2,0,0,-0.596,0,1,297,8.06,-0.565,0.35,2,16,0.598,-1.13,0.043,1,56,2.442,-0.67,0.254,2,271,7.943,0.104,0.705,3,323,39.294,-0.098,0.437,2,27,1.794,-0.998,0.143,1,319900,0.756,0.854,4,0.468,0.116,0.192,0.387,0.286,0.299,0.449,0.125,0.236,0.488,0.196,0.162,2,1,1,3,1,1,3,1,1,3,2,1,5522133.38671875,15134.7123050543
616,48113,48113007912,42,2121,1126,103,4.856,-0.545,0.3,2,0,0,-1.483,0,1,47,4.174,-1.5,0.054,1,14,1.243,-0.449,0.425,3,10,0.611,-0.246,0.628,2,41,3.641,-0.287,0.519,3,75,6.245,-0.506,0.347,3,2121,100,0.982,2.581,5,914,43.093,-0.498,0.363,1,0,0,-0.226,0,1,1013,84.346,0.536,0.611,3,0,0,-0.596,0,1,126,5.941,-0.737,0.255,2,0,0,-1.173,0,1,34,2.006,-0.769,0.204,2,25,1.239,-0.661,0.277,1,384,34.103,-0.361,0.336,2,26,2.309,-0.953,0.168,1,-1,-1.178,0,1,0.15,0.24,0.574,0.594,0.162,0.369,0.083,0.211,0.702,0.793,0.058,0.271,1,2,3,4,1,2,1,2,4,5,1,2,725339.12890625,3540.75735223691
617,48113,48113013805,42,3404,1970,191,5.611,-0.326,0.403,2,152,7.716,-0.537,0.336,2,54,2.741,-1.621,0.038,1,0,0,-0.782,0,1,27,1.064,-0.09,0.697,3,40,2.03,-0.543,0.365,2,304,13.369,0.254,0.702,5,3389,99.559,0.98,2.563,5,2161,63.484,0.227,0.564,2,0,0,-0.226,0,1,975,42.876,-1.033,0.166,1,0,0,-0.596,0,1,276,8.108,-0.561,0.353,2,162,6.301,-0.725,0.284,2,120,4.505,-0.201,0.501,3,340,10.582,0.405,0.766,4,876,44.557,0.168,0.555,3,102,5.178,-0.706,0.303,2,-1,-1.178,0,1,0.37,0.019,0.531,0.621,0.464,0.46,0.313,0.032,0.67,0.828,0.457,0.437,2,1,3,4,2,2,2,1,3,5,3,3,811449.8828125,3716.70502941536
618,48113,48113016521,42,6940,1886,360,5.187,-0.449,0.343,2,314,16.649,0.557,0.741,4,107,5.673,-1.374,0.075,1,20,1.06,-0.498,0.393,3,39,1.136,-0.066,0.707,3,54,2.863,-0.411,0.445,3,159,7.775,-0.342,0.436,3,2466,48.524,0.74,0.504,3,4959,71.455,0.51,0.636,3,1858,26.772,2.663,0.98,5,791,38.68,-1.192,0.148,1,0,0,-0.596,0,1,655,12.937,-0.167,0.54,3,392,12.645,-0.274,0.502,3,311,8.21,0.642,0.808,5,333,5.061,-0.225,0.593,3,547,54.7,0.682,0.761,4,211,11.188,-0.189,0.513,3,189800,-0.031,0.621,3,0.542,0.234,0.576,0.463,0.604,0.548,0.559,0.206,0.703,0.609,0.662,0.591,3,2,3,3,3,3,3,2,4,4,4,4,28716795,28025.0057717574
619,48113,48113018505,42,4021,1814,486,12.087,1.554,0.934,5,311,17.144,0.618,0.755,4,152,8.379,-1.146,0.127,2,43,2.37,-0.147,0.588,4,171,8.615,2.505,0.972,5,245,13.506,1.278,0.898,5,198,9.841,-0.122,0.543,4,3730,92.763,0.958,2.289,5,3683,91.594,1.226,0.844,5,0,0,-0.226,0,1,1890,93.936,0.899,0.811,4,0,0,-0.596,0,1,1183,29.421,1.176,0.869,5,405,17.117,0.044,0.619,3,197,8.771,0.77,0.839,5,378,10.693,0.418,0.768,4,907,55.103,0.702,0.77,4,195,10.75,-0.227,0.498,3,62600,-0.8,0.1,1,0.845,0.358,0.935,0.765,0.681,0.783,0.914,0.327,0.964,0.948,0.763,0.924,5,3,5,5,4,5,5,3,5,5,4,5,678909.2265625,3978.20955597141
620,48113,48113980000,42,0,0,0,0,-1.954,0,1,0,0,-1.483,0,1,0,0,-1.852,0,1,0,0,-0.782,0,1,0,0,-0.456,0,1,0,0,-0.865,0,1,0,0,-1.171,0,1,0,0,0,-1.454,1,0,0,-2.03,0,1,0,0,-0.226,0,1,0,0,-2.655,0,1,0,0,-0.596,0,1,0,0,-1.221,0,1,0,0,-1.173,0,1,0,0,-1.225,0,1,0,0,-0.802,0,1,0,0,-2.088,0,1,0,0,-1.152,0,1,-1,-1.178,0,1,0,0,0,-0.208,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,37843756.28125,45955.8146591614
621,48113,48113007913,42,2919,1821,97,3.323,-0.99,0.138,1,9,0.494,-1.422,0.041,1,486,26.689,0.399,0.671,4,88,4.833,0.512,0.802,5,116,6.089,1.637,0.945,5,181,9.94,0.712,0.825,4,245,11.859,0.093,0.639,4,1783,61.589,0.843,1.031,4,922,31.586,-0.907,0.23,1,24,0.822,-0.138,0.779,5,1184,57.309,-0.487,0.257,1,0,0,-0.596,0,1,152,5.25,-0.794,0.226,2,32,1.291,-1.081,0.07,1,37,1.846,-0.805,0.183,1,0,0,-0.802,0,1,366,34.398,-0.346,0.342,2,166,9.116,-0.367,0.448,3,158700,-0.219,0.502,3,0.09,0.737,0.885,0.452,0.175,0.486,0.044,0.792,0.932,0.592,0.068,0.484,1,5,5,3,1,2,1,5,5,4,1,3,860074.1796875,3939.2331357173
622,48113,48113018133,42,4020,1329,292,7.264,0.154,0.606,3,160,12.039,-0.007,0.56,3,284,21.369,-0.05,0.504,4,0,0,-0.782,0,1,16,0.739,-0.202,0.65,2,10,0.752,-0.746,0.212,1,80,5.678,-0.566,0.316,3,1501,37.385,0.602,0.055,3,2029,50.473,-0.236,0.436,2,5,0.124,-0.213,0.639,4,1268,89.993,0.75,0.724,3,0,0,-0.596,0,1,180,4.511,-0.854,0.198,2,268,9.487,-0.498,0.402,2,161,6.895,0.343,0.726,4,96,2.575,-0.508,0.421,2,43,11.14,-1.524,0.082,1,38,2.859,-0.906,0.197,2,181200,-0.083,0.592,3,0.583,0.252,0.431,0.338,0.437,0.445,0.619,0.222,0.556,0.413,0.414,0.409,3,2,2,2,2,2,4,2,3,3,3,3,12456976.2265625,17711.0002073922
623,48039,48039660200,9,6806,2019,587,8.625,0.549,0.741,4,332,16.444,0.532,0.734,5,350,17.335,-0.39,0.371,3,68,3.368,0.12,0.692,5,7,0.215,-0.382,0.559,5,36,1.783,-0.582,0.335,3,125,5.83,-0.55,0.324,2,1147,16.885,0.244,-0.773,3,3124,45.901,-0.398,0.391,3,13,0.191,-0.206,0.672,4,1606,74.907,0.179,0.454,3,41,1.912,-0.441,0.576,2,355,5.221,-0.796,0.225,3,284,7.129,-0.666,0.315,2,199,5.652,0.06,0.62,4,67,1.077,-0.679,0.252,2,105,26.25,-0.759,0.207,2,112,5.547,-0.675,0.317,3,246400,0.312,0.75,4,0.738,0.532,0.447,0.267,0.376,0.514,0.813,0.542,0.58,0.311,0.324,0.536,5,4,5,3,3,5,4,4,3,2,2,3,24003657.3671875,23091.9199517907
624,48113,48113020000,42,5335,1756,259,4.855,-0.545,0.3,2,99,5.638,-0.792,0.233,2,142,8.087,-1.17,0.122,1,18,1.025,-0.508,0.385,3,0,0,-0.456,0,1,18,1.025,-0.702,0.248,1,10,0.566,-1.111,0.077,1,1235,23.149,0.365,-0.52,2,3339,62.587,0.195,0.555,2,0,0,-0.226,0,1,1219,69.026,-0.044,0.374,2,94,5.323,-0.165,0.673,5,77,1.443,-1.104,0.059,1,45,1.38,-1.074,0.074,1,46,1.655,-0.849,0.163,1,140,2.758,-0.487,0.439,2,96,21.477,-1.001,0.155,1,32,1.822,-0.995,0.144,1,480600,1.728,0.956,5,0.267,0.254,0.124,0.174,0.205,0.172,0.19,0.224,0.155,0.197,0.096,0.04,1,2,1,1,1,1,2,2,1,2,1,1,9871148.1328125,13462.3381503152
625,48069,48069950300,585,2172,657,204,9.392,0.772,0.801,3,91,13.851,0.215,0.637,3,124,18.874,-0.261,0.422,1,36,5.479,0.685,0.83,3,0,0,-0.456,0,1,28,4.262,-0.189,0.568,2,186,22.064,1.18,0.894,3,840,38.674,0.618,0.107,2,1603,73.803,0.594,0.657,2,0,0,-0.226,0,1,812,96.323,0.989,0.872,2,123,14.591,0.586,0.801,2,426,19.613,0.377,0.717,3,398,32.65,1.149,0.855,3,36,3.805,-0.36,0.424,3,355,18.039,1.256,0.883,3,27,10.189,-1.572,0.078,1,155,23.592,0.879,0.816,3,56100,-0.839,0.082,1,0.719,0.626,0.284,0.578,0.745,0.681,0.792,0.657,0.343,0.775,0.84,0.802,3,2,1,2,3,2,4,2,2,2,5,2,1678963780.28125,195280.917007454
626,48069,48069950200,585,4119,1469,318,7.72,0.287,0.655,2,198,13.479,0.169,0.622,2,451,30.701,0.737,0.779,3,64,4.357,0.384,0.771,2,26,1.356,0.01,0.733,2,167,11.368,0.939,0.856,3,328,18.253,0.774,0.835,1,1963,48.541,0.74,0.505,3,3126,75.892,0.668,0.676,3,75,1.821,-0.03,0.845,3,1747,97.218,1.023,0.899,3,69,3.84,-0.285,0.642,1,411,10.163,-0.393,0.437,2,576,22.386,0.419,0.718,2,11,0.536,-1.103,0.068,1,227,5.972,-0.121,0.636,2,268,35.925,-0.269,0.37,3,327,22.26,0.765,0.794,2,84800,-0.666,0.188,2,0.639,0.775,0.795,0.691,0.554,0.779,0.698,0.836,0.872,0.898,0.591,0.921,2,3,3,3,2,3,3,5,4,4,1,5,147813050.296875,72009.0349517928
627,48069,48069950100,585,1270,431,40,3.15,-1.04,0.127,1,29,6.729,-0.658,0.288,1,102,23.666,0.144,0.579,2,3,0.696,-0.596,0.319,1,9,1.528,0.069,0.752,3,0,0,-0.865,0,1,108,20.037,0.964,0.867,2,148,11.654,0.146,-0.984,1,450,35.433,-0.77,0.273,1,0,0,-0.226,0,1,435,80.705,0.398,0.546,1,124,23.006,1.268,0.882,3,49,3.87,-0.906,0.172,1,172,19.747,0.231,0.672,1,7,1.142,-0.965,0.112,2,41,3.333,-0.422,0.488,1,10,19.231,-1.114,0.135,2,93,21.578,0.706,0.781,1,109100,-0.519,0.297,3,0.208,0.449,0.376,0.251,0.513,0.373,0.13,0.438,0.471,0.291,0.533,0.278,1,1,2,1,1,1,1,1,2,1,1,1,1613344285.78125,193835.976076644
